start,end,deaths,world_population
1601,1601,-999,545480
1603,1603,-999,544440
1606,1606,-999,542880
1608,1613,-999,541840
1610,1611,0,540800
1617,1618,-999,537160
1617,1619,0,537160
1618,1649,6200,536640
1620,1621,40,535600
1621,1624,-999,535080
1625,1625,100,533000
1627,1627,-999,531960
1628,1631,1280,531440
1630,1662,10,530400
1632,1632,18,529360
1633,1634,-999,528840
1633,1635,-999,528840
1634,1640,0,528320
1636,1637,33,527280
1640,1641,-999,525200
1643,1643,-999,523640
1643,1644,-999,523640
1644,1644,0,523120
1647,1647,0,521560
1648,1649,-999,521040
1653,1653,-999,525940
1654,1655,700,527920
1655,1655,0,529900
1656,1656,-999,531880
1660,1669,108,539800
1661,1665,16,541780
1663,1668,87.5,549700
1665,1665,-999,549700
1667,1668,-999,553660
1668,1668,0,555640
1670,1670,-999,559600
1673,1673,-999,565540
1674,1753,25,567520
1675,1683,337,569500
1677,1677,-999,573460
1677,1678,0,573460
1678,1682,567,575440
1680,1681,-999,579400
1681,1681,0,581380
1683,1683,-999,585340
1684,1684,7,587320
1685,1686,0,589300
1689,1689,8,597220
1689,1690,150,597220
1690,1691,0,599200
1692,1694,-999,603160
1697,1698,-999,613060
1699,1699,0,617020
1702,1702,0,624520
1702,1703,0,624520
1702,1704,-999,624520
1703,1704,0,627280
1704,1713,425,630040
1706,1706,0,635560
1706,1709,-999,635560
1707,1709,15,638320
1708,1709,-999,641080
1708,1709,0,641080
1708,1710,-999,641080
1709,1720,41,643840
1710,1710,0,646600
1712,1712,0,652120
1713,1713,10,654880
1713,1714,-999,654880
1716,1716,7.1,663160
1717,1717,-999,665920
1718,1718,-999,668680
1720,1730,100,674200
1721,1722,0,676960
1721,1724,-999,676960
1726,1726,-999,690760
1726,1729,19,690760
1727,1728,-999,693520
1728,1728,0,696280
1729,1730,0,699040
1730,1731,0,701800
1732,1732,0,707320
1732,1733,0,707320
1733,1734,0,710080
1734,1734,0,712840
1735,1740,5,715600
1736,1739,40,718360
1738,1740,50,723880
1738,1742,200,723880
1740,1740,-999,729400
1740,1740,0,729400
1740,1742,135,729400
1740,1750,210,729400
