time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-12T00:45:00.291Z,51.6491,178.9783,74.2,2.50,ml,,,,0.53,ak,ak0244qcm9zo,2024-04-12T05:10:49.608Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2024-04-13T04:23:53.995Z,32.64,-104.4199,5,2.50,ml,31,55,0.561,0.32,us,us7000mbuj,2024-04-13T17:45:05.015Z,"14 km SSW of Atoka, New Mexico",earthquake,1.66,1.971,0.097,14,reviewed,us,us
2024-04-14T02:22:26.042Z,61.0191,-151.0637,54.8,2.50,ml,,,,0.38,ak,ak0244tor2to,2024-04-14T02:31:08.040Z,"6 km SE of Tyonek, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-04-14T23:24:13.801Z,51.6755,-177.1313,14.15,2.50,ml,12,207,0.108,0.33,us,us7000mchz,2024-04-17T23:13:12.040Z,"40 km WSW of Adak, Alaska",earthquake,3.08,4.255,0.128,8,reviewed,us,us
2024-04-15T12:36:04.890Z,31.655,-104.381,5.8435,2.50,ml,32,67,0,0.2,tx,tx2024hkut,2024-04-16T08:26:40.040Z,"57 km S of Whites City, New Mexico",earthquake,0.993942484,1.030350822,0.2,25,reviewed,tx,tx
2024-04-15T15:25:50.953Z,61.4123,-150.7657,56.5,2.50,ml,,,,0.56,ak,ak0244vk1r8a,2024-04-15T15:48:12.040Z,"19 km SW of Susitna, Alaska",earthquake,,1,,,automatic,ak,ak
2024-04-15T19:18:39.990Z,64.4185,-147.1935,7,2.50,ml,,,,0.85,ak,ak0244vmdyr3,2024-04-16T14:19:39.526Z,"18 km SW of Salcha, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2024-04-15T21:02:57.450Z,61.3515,-146.889,22.4,2.50,ml,,,,0.36,ak,ak0244vnhfwx,2024-04-15T21:13:25.040Z,"38 km NW of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-04-16T06:31:53.095Z,31.623,-104.497,6.4587,2.50,ml,34,69,0,0.2,tx,tx2024hmeg,2024-04-16T08:22:29.587Z,"62 km S of Whites City, New Mexico",earthquake,0.941274519,0.639498506,0.1,20,reviewed,tx,tx
2024-04-16T21:07:49.525Z,57.209,-155.9906,12.4,2.50,ml,,,,0.36,ak,ak0244xb1udk,2024-04-16T21:31:32.040Z,"91 km ESE of Ugashik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-04-18T09:34:01.096Z,59.7921,-153.0733,97.6,2.50,ml,,,,0.3,ak,ak02450f50p9,2024-04-18T14:09:55.040Z,"57 km E of Pedro Bay, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-04-19T15:15:18.542Z,29.044,-97.813,5.5664,2.50,ml,15,45,0,0.1,tx,tx2024hsib,2024-04-19T16:39:03.040Z,"19 km NNE of Karnes City, Texas",earthquake,0.698672656,0.984282464,0.2,9,reviewed,tx,tx
2024-04-16T07:27:12.650Z,17.94383333,-66.886,10.23,2.52,md,9,211,0.03171,0.17,pr,pr71445708,2024-04-16T07:36:17.290Z,"3 km S of Maria Antonia, Puerto Rico",earthquake,0.85,0.55,0.172817095,6,reviewed,pr,pr
2024-04-19T07:55:08.360Z,17.95233333,-66.94966667,7.07,2.53,md,15,207,0.04376,0.18,pr,pr71445963,2024-04-19T08:10:20.950Z,"4 km WSW of Guánica, Puerto Rico",earthquake,0.6,0.29,0.060363842,6,reviewed,pr,pr
2024-04-15T09:22:01.520Z,18.23166667,-67.103,22.25,2.54,md,26,47,0.03773,0.25,pr,pr71445628,2024-04-15T09:43:18.260Z,"5 km NE of Mayagüez, Puerto Rico",earthquake,0.4,0.65,0.096950797,7,reviewed,pr,pr
2024-04-12T03:08:46.610Z,40.406,-125.235,10,2.55,md,49,263,0.6885,0.24,nc,nc74033031,2024-04-13T10:17:17.689Z,"81 km W of Petrolia, CA",earthquake,1.29,31.61,0.321,46,reviewed,nc,nc
2024-04-19T02:16:58.710Z,51.78033333,-177.4796667,-1.78,2.56,ml,13,169,0.1531,0.2,av,av93095041,2024-04-19T20:13:35.760Z,"59 km W of Adak, Alaska",earthquake,1.01,0.65,0.197364333,14,reviewed,av,av
2024-04-19T18:59:05.650Z,32.6403333,-115.7191667,9.96,2.56,ml,50,51,0.01084,0.29,ci,ci40551231,2024-04-19T19:10:03.840Z,"14 km WNW of Progreso, B.C., MX",earthquake,0.32,0.54,0.233,26,automatic,ci,ci
2024-04-19T02:19:59.000Z,51.7685,-177.4766667,-1.76,2.57,ml,11,176,0.1502,0.21,av,av93095061,2024-04-19T20:18:51.380Z,"59 km WSW of Adak, Alaska",earthquake,1.14,0.77,0.210481957,10,reviewed,av,av
2024-04-12T05:12:46.540Z,19.2385,-155.3791667,32.33,2.58,ml,53,146,0.01736,0.12,hv,hv74169042,2024-04-13T06:50:37.040Z,"11 km ENE of Pāhala, Hawaii",earthquake,0.41,0.46,0.129840175,5,reviewed,hv,hv
2024-04-14T12:13:56.000Z,32.1808333,-116.624,15.51,2.58,ml,30,103,0.1361,0.19,ci,ci40712680,2024-04-15T15:21:40.066Z,"28 km E of Primo Tapia, B.C., MX",earthquake,0.33,0.73,0.172,90,reviewed,ci,ci
2024-04-19T01:53:15.410Z,51.74566667,-177.4745,1.84,2.58,ml,13,190,0.1496,0.17,av,av93095011,2024-04-19T19:31:18.160Z,"59 km WSW of Adak, Alaska",earthquake,0.88,1.27,0.204007098,13,reviewed,av,av
2024-04-12T01:30:37.360Z,61.3334,-151.4379,95.8,2.60,ml,,,,0.41,ak,ak0244qd4otp,2024-04-12T01:39:15.040Z,"28 km NW of Beluga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-04-12T06:04:45.608Z,66.2498,-157.694,0,2.60,ml,,,,1,ak,ak0244qfyavk,2024-04-12T06:10:06.650Z,"75 km SSW of Shungnak, Alaska",earthquake,,1.4,,,automatic,ak,ak
2024-04-13T09:45:45.127Z,42.8271,-111.2281,5,2.60,ml,37,68,0.112,0.38,us,us7000mbvm,2024-04-18T16:53:32.599Z,"18 km WNW of Auburn, Wyoming",earthquake,1.17,1.92,0.036,101,reviewed,us,us
2024-04-13T09:57:35.252Z,58.9639,-136.6385,5.7,2.60,ml,,,,0.69,ak,ak0244s5lac5,2024-04-13T22:31:00.040Z,"61 km SW of Covenant Life, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-04-13T20:05:26.256Z,63.7385,-153.6094,0.3,2.60,ml,,,,0.87,ak,ak0244sbtw29,2024-04-13T22:13:39.040Z,"65 km WSW of Lake Minchumina, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-04-13T20:50:48.145Z,32.0753,-93.3533,5,2.60,mb_lg,13,88,0.769,0.93,us,us7000mc1r,2024-04-14T14:24:48.161Z,"3 km NW of Edgefield, Louisiana",earthquake,2.25,1.752,0.117,19,reviewed,us,us
2024-04-14T04:54:42.976Z,51.7091,-177.4566,10,2.60,ml,16,185,0.147,0.29,us,us7000mcb5,2024-04-17T01:08:29.040Z,"59 km WSW of Adak, Alaska",earthquake,1.13,1.884,0.091,16,reviewed,us,us
