percentile,value
1,34.46
2,35.31
3,35.85
4,36.26
5,36.59
6,36.87
7,37.12
8,37.34
9,37.54
10,37.72
11,37.89
12,38.06
13,38.21
14,38.35
15,38.49
16,38.62
17,38.75
18,38.87
19,38.98
20,39.1
21,39.21
22,39.31
23,39.42
24,39.52
25,39.62
26,39.72
27,39.81
28,39.9
29,40.0
30,40.09
31,40.18
32,40.26
33,40.35
34,40.44
35,40.52
36,40.61
37,40.69
38,40.77
39,40.85
40,40.93
41,41.01
42,41.09
43,41.17
44,41.25
45,41.33
46,41.41
47,41.49
48,41.57
49,41.65
50,41.73
51,41.8
52,41.88
53,41.96
54,42.04
55,42.12
56,42.2
57,42.28
58,42.36
59,42.44
60,42.52
61,42.6
62,42.68
63,42.76
64,42.84
65,42.93
66,43.01
67,43.1
68,43.19
69,43.27
70,43.36
71,43.45
72,43.55
73,43.64
74,43.73
75,43.83
76,43.93
77,44.03
78,44.14
79,44.24
80,44.35
81,44.47
82,44.58
83,44.7
84,44.83
85,44.96
86,45.1
87,45.24
88,45.39
89,45.56
90,45.73
91,45.91
92,46.11
93,46.33
94,46.58
95,46.86
96,47.19
97,47.6
98,48.14
99,48.99
